URL,Tournament,Date,Round,Courses,Specific Course,Year,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType,Hole,Yards,Par,Score,ShotType, ,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType,ShotType
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/628/rickie-fowler,Frys.com Open,0/22-10/25,Round 3,Grayhawk Golf Club - Raptor - Scottsdale- AZ,,2009,1,413,4,4,30,2,395,4,4,30,3,460,4,4,30,4,562,5,3,36,5,203,3,5,25,6,345,4,4,30,7,498,4,4,30,8,174,3,3,23,9,464,4,5,31,10,390,4,4,30,11,572,5,4,37,12,468,4,4,30,13,230,3,2,22,14,429,4,3,29,15,332,4,3,29,16,211,3,3,23,17,464,4,6,32,18,515,4,4,30,  ,30,30,30,36,25,30,30,23,31,30,37,30,22,29,29,23,32,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/628/rickie-fowler,Frys.com Open,0/22-10/25,Round 2,Grayhawk Golf Club - Raptor - Scottsdale- AZ,,2009,1,413,4,4,30,2,395,4,4,30,3,460,4,4,30,4,562,5,5,38,5,203,3,3,23,6,345,4,2,28,7,498,4,3,29,8,174,3,3,23,9,464,4,4,30,10,390,4,4,30,11,572,5,4,37,12,468,4,4,30,13,230,3,3,23,14,429,4,4,30,15,332,4,3,29,16,211,3,3,23,17,464,4,4,30,18,515,4,3,29,  ,30,30,30,38,23,28,29,23,30,30,37,30,23,30,29,23,30,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/628/rickie-fowler,Frys.com Open,0/22-10/25,Round 1,Grayhawk Golf Club - Raptor - Scottsdale- AZ,,2009,1,413,4,4,30,2,395,4,4,30,3,460,4,4,30,4,562,5,4,37,5,203,3,2,22,6,345,4,3,29,7,498,4,4,30,8,174,3,3,23,9,464,4,3,29,10,390,4,4,30,11,572,5,5,38,12,468,4,4,30,13,230,3,4,24,14,429,4,4,30,15,332,4,2,28,16,211,3,3,23,17,464,4,4,30,18,515,4,4,30,  ,30,30,30,37,22,29,30,23,29,30,38,30,24,30,28,23,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/626/rickie-fowler,Children's Miracle Network Classic,1/12-11/15,Round 4 ,Magnolia GC- Palm GC - Lake Buena Vista- FL,Magnolia GC,2009,1,428,4,4,30,2,417,4,4,30,3,170,3,3,23,4,542,5,4,37,5,492,4,5,31,6,231,3,2,22,7,422,4,4,30,8,614,5,5,38,9,500,4,5,31,10,526,5,6,39,11,399,4,3,29,12,169,3,2,22,13,384,4,3,29,14,592,5,5,38,15,203,3,3,23,16,450,4,4,30,17,485,4,6,32,18,492,4,4,30,  ,30,30,23,37,31,22,30,38,31,39,29,22,29,38,23,30,32,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/626/rickie-fowler,Children's Miracle Network Classic,1/12-11/15,Round 3 ,Magnolia GC- Palm GC - Lake Buena Vista- FL,Magnolia GC,2009,1,428,4,4,30,2,417,4,4,30,3,170,3,3,23,4,542,5,4,37,5,492,4,4,30,6,231,3,3,23,7,422,4,4,30,8,614,5,5,38,9,500,4,4,30,10,526,5,4,37,11,399,4,4,30,12,169,3,3,23,13,384,4,4,30,14,592,5,5,38,15,203,3,3,23,16,450,4,3,29,17,485,4,4,30,18,492,4,4,30,  ,30,30,23,37,30,23,30,38,30,37,30,23,30,38,23,29,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/626/rickie-fowler,Children's Miracle Network Classic,1/12-11/15,Round 2 ,Magnolia GC- Palm GC - Lake Buena Vista- FL,Magnolia GC,2009,1,428,4,4,30,2,417,4,4,30,3,170,3,2,22,4,542,5,6,39,5,492,4,5,31,6,231,3,3,23,7,422,4,4,30,8,614,5,5,38,9,500,4,5,31,10,526,5,7,40,11,399,4,4,30,12,169,3,3,23,13,384,4,3,29,14,592,5,5,38,15,203,3,3,23,16,450,4,4,30,17,485,4,4,30,18,492,4,4,30,  ,30,30,22,39,31,23,30,38,31,40,30,23,29,38,23,30,30,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/626/rickie-fowler,Children's Miracle Network Classic,1/12-11/15,Round 1 ,Magnolia GC- Palm GC - Lake Buena Vista- FL,Palm GC,2009,1,498,5,5,38,2,424,4,4,30,3,167,3,2,22,4,422,4,4,30,5,410,4,3,29,6,411,4,4,30,7,524,5,5,38,8,205,3,3,23,9,380,4,5,31,10,441,4,4,30,11,544,5,5,38,12,206,3,3,23,13,358,4,3,29,14,547,5,4,37,15,422,4,3,29,16,195,3,3,23,17,399,4,3,29,18,458,4,3,29,  ,38,30,22,30,29,30,38,23,31,30,38,23,29,37,29,23,29,29
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/699/rickie-fowler,PGA Tour Qualifying Tournament,2/02-12/07,Round 6 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009,1, -,4,5,31,2, -,3,3,23,3, -,5,3,36,4, -,4,4,30,5, -,4,4,30,6, -,5,5,38,7, -,4,4,30,8, -,3,2,22,9, -,4,4,30,10, -,4,4,30,11, -,3,2,22,12, -,5,5,38,13, -,4,4,30,14, -,3,3,23,15, -,4,4,30,16, -,4,4,30,17, -,5,5,38,18, -,4,5,31,  ,31,23,36,30,30,38,30,22,30,30,22,38,30,23,30,30,38,31
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/699/rickie-fowler,PGA Tour Qualifying Tournament,2/02-12/07,Round 5 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Links Course,2009,1, -,4,4,30,2, -,3,5,25,3, -,5,3,36,4, -,4,3,29,5, -,4,3,29,6, -,5,5,38,7, -,4,3,29,8, -,3,4,24,9, -,4,3,29,10, -,4,4,30,11, -,3,5,25,12, -,5,4,37,13, -,4,5,31,14, -,3,4,24,15, -,4,3,29,16, -,4,3,29,17, -,5,5,38,18, -,4,4,30,  ,30,25,36,29,29,38,29,24,29,30,25,37,31,24,29,29,38,30
http://espn.go.com/golf/player/scorecards/_/id/3702/year/2009/tournamentId/699/rickie-fowler,PGA Tour Qualifying Tournament,2/02-12/07,Round 4 ,Bear Lake Country Club Links Course- Bear Lake Country Club Lakes Course,Bear Lake Country Club Lakes Course,2009,1, -,4,4,30,2, -,3,3,23,3, -,5,4,37,4, -,4,4,30,5, -,4,3,29,6, -,5,5,38,7, -,4,4,30,8, -,3,3,23,9, -,4,4,30,10, -,4,5,31,11, -,3,3,23,12, -,5,7,40,13, -,4,5,31,14, -,3,3,23,15, -,4,4,30,16, -,4,4,30,17, -,5,4,37,18, -,4,4,30,  ,30,23,37,30,29,38,30,23,30,31,23,40,31,23,30,30,37,30
